Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1728308726679,3504,3504,3504,3504,3504,3504,3504,3504,54.039451599121094,52.15390396118164,49.90496063232422,50.37462615966797,45.21147537231445,45.635154724121094,44.528236389160156,47.36020278930664,45.30202865600586,50,50,NaN,0,0,0,0,0,13.002487182617188,17179869184,4294967296,10610589696,2636382208
3004,1728308726679,3504,3504,3504,3504,3504,3504,3504,3504,54.039451599121094,52.15390396118164,49.90496063232422,50.37462615966797,45.21147537231445,45.635154724121094,44.528236389160156,47.36020278930664,45.30202865600586,NaN,50,0,0,0,0,0,0,13.002487182617188,17179869184,4294967296,10614292480,2636382208
3004,1728308729684,3504,3504,3504,3504,3504,3504,3504,3504,46.42559814453125,48.64132308959961,46.442237854003906,45.068443298339844,44.447662353515625,44.466529846191406,44.03733825683594,45.41084671020508,45.048309326171875,39.39393997192383,34.121620178222656,29.765886306762695,25.167783737182617,35.90604019165039,19.06354522705078,11.036788940429688,10.702341079711914,17.813119888305664,17179869184,4294967296,13745946624,2636382208
3001,1728308732690,3504,3504,3504,3504,3504,3504,3504,3504,46.08498001098633,45.94007873535156,45.01750946044922,44.502159118652344,46.008365631103516,48.51048278808594,47.74250030517578,48.688072204589844,47.84694290161133,30.536914825439453,25.838926315307617,23.489933013916016,20,16.666667938232422,13.712374687194824,4.333333492279053,2.9900333881378174,16.348949432373047,17179869184,4294967296,14780514304,2955804672
3004,1728308735692,3504,3504,3504,3504,3504,3504,3504,3504,51.10355758666992,51.75389099121094,50.076210021972656,49.244529724121094,49.730960845947266,52.636199951171875,52.14569854736328,52.6976318359375,52.663230895996094,21.476511001586914,18.791946411132813,14.715719223022461,17.845117568969727,19.798656463623047,21.7391300201416,9.698996543884277,6.354515075683594,36.71844482421875,17179869184,4294967296,14814511104,2947284992
3001,1728308738697,3504,3504,3504,3504,3504,3504,3504,3504,56.70699691772461,52.695640563964844,52.13810729980469,53.674949645996094,51.95992660522461,54.73548126220703,54.097900390625,55.262786865234375,54.3217658996582,22.14765167236328,22.073577880859375,18.8552188873291,15.000000953674316,13.712374687194824,19.666667938232422,11,8.970099449157715,34.6153564453125,17179869184,4294967296,14791458816,2947284992
3000,1728308741699,3504,3504,3504,3504,3504,3504,3504,3504,61.532432556152344,59.238216400146484,57.32716369628906,58.28175354003906,55.10786819458008,58.98414611816406,58.21173095703125,60.189414978027344,58.86262130737305,21.140939712524414,22.48322296142578,17.725751876831055,15.050167083740234,17.056856155395508,18.33333396911621,8,5,32.22947692871094,17179869184,4294967296,14799077376,2938896384
2999,1728308744699,3504,3504,3504,3504,3504,3504,3504,3504,58.09305953979492,59.29423141479492,57.257232666015625,56.56318664550781,57.15299987792969,61.34645080566406,60.65790557861328,61.70843505859375,60.7928581237793,22.22222328186035,19.46308708190918,16.10738182067871,16.38796043395996,15.771812438964844,8.026755332946777,5.351170539855957,6.6666669845581055,38.634456634521484,17179869184,4294967296,14817837056,2938896384
3004,1728308747700,3504,3504,3504,3504,3504,3504,3504,3504,58.36552810668945,58.43485641479492,57.44398498535156,57.08918762207031,58.899173736572266,62.46675109863281,61.968482971191406,62.91542053222656,61.851905822753906,21.885520935058594,18.518518447875977,15.719063758850098,15.824915885925293,6.020066738128662,5.033556938171387,6.020066738128662,6,39.319419860839844,17179869184,4294967296,14773501952,2938896384
3004,1728308750705,3504,3504,3504,3504,3504,3504,3504,3504,61.71113967895508,61.60562515258789,60.422752380371094,60.55485534667969,61.616981506347656,66.17882537841797,64.86343383789063,66.2142333984375,64.7160873413086,34.228187561035156,28.956228256225586,27.51677894592285,26.086956024169922,29.431438446044922,29.235881805419922,27.666667938232422,20,41.64238357543945,17179869184,4294967296,14734426112,2938896384
3000,1728308753710,3504,3504,3504,3504,3504,3504,3504,3504,65.1405029296875,63.98228073120117,62.823875427246094,63.38786315917969,63.566925048828125,67.80438995361328,67.03052520751953,67.6947021484375,67.10758972167969,24.496644973754883,27.090301513671875,19.732440948486328,17.39130401611328,15.719063758850098,12.709030151367188,15.946844100952148,7.6666669845581055,38.10694885253906,17179869184,4294967296,14700789760,2938896384
13,1728308756711,3504,3504,3504,3504,3504,3504,3504,3504,65.29979705810547,65.00128173828125,63.5540771484375,63.62970733642578,62.39948654174805,63.38317108154297,63.07472229003906,64.6467514038086,64.22935485839844,26.599327087402344,24.08026695251465,20.469799041748047,18.394649505615234,18.06020164489746,13.666666984558105,9.333333015441895,7.692307949066162,33.377777099609375,17179869184,4294967296,14670512128,2938896384
